,track_id,track_name,artist,track_length,track_popularity,track_added,album_id,album_name,total_album_tracks,track_url,album_url,album_release_year
409,3Q6mwJseOFYBJ10d5CXp4o,Odd Look,"Kavinsky, The Weeknd",4.225766666666667,62,2023-06-19 13:19:04+00:00,3FHMLI0Vz2t0gdypH1yImX,Odd Look,6,https://open.spotify.com/track/3Q6mwJseOFYBJ10d5CXp4o,https://open.spotify.com/album/3FHMLI0Vz2t0gdypH1yImX,2013
410,6tCssnvTUREcperDOUTqvA,WANNABE,ITZY,3.1873666666666667,2,2023-06-19 13:19:04+00:00,2gertXS08whDTzBWfmewPO,It'z Me,7,https://open.spotify.com/track/6tCssnvTUREcperDOUTqvA,https://open.spotify.com/album/2gertXS08whDTzBWfmewPO,2020
411,7Ilvj4HSzJj3l5GAtBWrld,FOCUS,KIM DONG HAN,3.58,0,2023-06-19 13:19:04+00:00,6eQG1mSFp7lCvvRkY2BqoJ,D-HOURS AM 7: 03,5,https://open.spotify.com/track/7Ilvj4HSzJj3l5GAtBWrld,https://open.spotify.com/album/6eQG1mSFp7lCvvRkY2BqoJ,2019
412,42EThIHB6hwfnGivTvabah,Chained Up in Diamonds,SOOVI,3.4433333333333334,0,2023-06-19 13:19:04+00:00,7InbEcEQyXVUCYrvevl8AS,Chained Up in Diamonds,1,https://open.spotify.com/track/42EThIHB6hwfnGivTvabah,https://open.spotify.com/album/7InbEcEQyXVUCYrvevl8AS,2019
413,3JxRNkoNmAcPgnA5HSnKiz,Make the Move (feat. pH-1),"SOOVI, pH-1",2.955766666666667,50,2023-06-19 13:19:04+00:00,39kE7BbrzccyYdw9W5dCWf,Make the Move,1,https://open.spotify.com/track/3JxRNkoNmAcPgnA5HSnKiz,https://open.spotify.com/album/39kE7BbrzccyYdw9W5dCWf,2020
414,5hkyCYlfxi91HcfMDrlCKt,Lonely in Tokyo,MIREI,3.2544833333333334,44,2023-06-19 13:19:04+00:00,5EJ1r6XxF74KpZ58F1sobl,Take Me Away,10,https://open.spotify.com/track/5hkyCYlfxi91HcfMDrlCKt,https://open.spotify.com/album/5EJ1r6XxF74KpZ58F1sobl,2020
415,1i5KzbqrKM0IQFC0M32CwB,Glorious,Sudan Archives,2.4623,0,2023-06-19 13:19:04+00:00,4HOPqliDYxpuwdsRwXwpOJ,Athena,14,https://open.spotify.com/track/1i5KzbqrKM0IQFC0M32CwB,https://open.spotify.com/album/4HOPqliDYxpuwdsRwXwpOJ,2019
416,6Kke9MonigeJKLSmlmRnWD,Curiosity,LOONA,3.1500333333333335,0,2023-06-19 13:19:04+00:00,2Ij6998NUjQ0BkQ2ipqiET,[X X],6,https://open.spotify.com/track/6Kke9MonigeJKLSmlmRnWD,https://open.spotify.com/album/2Ij6998NUjQ0BkQ2ipqiET,2019
417,1ku5L58Htm283WHoi1GdUy,Trust,Half Moon Run,4.84155,0,2023-06-19 13:19:04+00:00,5DRek3qaIlJX3FUtYWuhDr,Trust,1,https://open.spotify.com/track/1ku5L58Htm283WHoi1GdUy,https://open.spotify.com/album/5DRek3qaIlJX3FUtYWuhDr,2015
418,472McvAuBRHKhKUA0jrBUK,Décalcomanie,MAMAMOO,3.59995,0,2023-06-19 13:19:04+00:00,17BRNcJygXPprUrdEA4zkD,Memory,7,https://open.spotify.com/track/472McvAuBRHKhKUA0jrBUK,https://open.spotify.com/album/17BRNcJygXPprUrdEA4zkD,2016
